date,gromadco/Talking-Companion-iOS,dudarev/photoplanet,dudarev/mapjumper,gromadco/change-password-links
2014-11-16,0,0,0,0
2014-11-17,0,0,0,0
2014-11-18,0,0,0,1
2014-11-19,0,0,0,0
2014-11-20,3,0,0,0
2014-11-21,0,2,0,0
2014-11-22,0,0,0,0
2014-11-23,0,0,0,0
2014-11-24,0,0,0,0
2014-11-25,0,0,0,0
2014-11-26,0,0,0,0
2014-11-27,0,0,0,0
2014-11-28,0,0,0,0
2014-11-29,0,0,0,0
2014-11-30,2,0,0,0
2014-12-01,0,0,0,0
2014-12-02,0,0,0,0
2014-12-03,0,0,0,0
2014-12-04,0,0,0,0
2014-12-05,0,0,0,0
2014-12-06,2,0,0,0
2014-12-07,0,0,0,0
2014-12-08,0,0,0,0
2014-12-09,0,0,0,0
2014-12-10,0,0,0,0
2014-12-11,0,0,0,1
2014-12-12,0,0,0,0
